id,classtype,name,ptid,place_type,pop_den_gross,pop_den_net,res_den_gross,res_den_net,res_den_use,res_den_use_acres,gross_detsf_ll_dens,gross_detsf_sl_dens,gross_attsf_dens,gross_mf_dens,net_detsf_ll_dens,net_detsf_sl_dens,net_attsf_dens,net_mf_dens,emp_den_gross,emp_den_net,emp_den_use,emp_use_acres,gross_ret_emp,gross_off_emp,gross_ind_emp,gross_ret_sqft,gross_off_sqft,gross_ind_sqft,net_ret_emp,net_off_emp,net_ind_emp,net_ret_sqft,net_off_sqft,net_ind_sqft,intersections_sqmi,intersections_ac,ind_off_perc_tot_jobs,parcel_sq_ft_ac,land_perc_mixed_use,land_perc_res,land_perc_emp,gross_bldg_sqft_detsf,gross_bldg_sqft_detsf_sl,gross_bldg_sqft_detsf_ll,gross_bldg_sqft_attsf,gross_bldg_sqft_mf,net_bldg_sqft_detsf,net_bldg_sqft_detsf_sl,net_bldg_sqft_detsf_ll,net_bldg_sqft_attsf,net_bldg_sqft_mf,gross_hh_ac,net_hh_ac,occupancy_rate,acres_parcel_res,acres_parcel_res_detsf,acres_detsf_sl_dens,acres_detsf_ll_dens,acres_attsf_dens,acres_mf_dens,acres_parcel_emp,acres_emp_off_dens,acres_emp_ret_dens,acres_emp_ind_dens,acres_parcel_emp_ag_dens,acres_parcel_emp_mixed_dens,acres_parcel_mixed_dens,acres_parcel_mixed_w_off_dens,acres_parcel_mixed_no_off_dens,acres_developable_dens,colorhex,color_r,color_g,color_b,res_electric_use_mwh_ac,comm_electric_use_mwh_ac,total_electric_use_mwh_ac,res_gas_use_therms_ac,comm_gas_use_therms_ac,total_gas_use_therms_ac,indoor_water_use_af_ac,outdoor_water_use_af_ac,total_water_use_af_ac,ghg_electric_mt_ac,ghg_gas_mt_ac,ghg_res_mt_ac,ghg_conm_mt_ac,ghg_total_mt_ac,ghg_per_resident,ghg_per_employee,res_com_area_sqft_gross,sm_office_sqft_gross,lg_office_sqft_gross,restaurant_sqft_gross,retail_sqft_gross,grocery_sqft_gross,school_sqft_gross,college_sqft_gross,health_sqft_gross,lodging_sqft_gross,misc_sqft_gross,industrial_sqft_gross,warehouse_sqft_gross,emp_ind_non_warehouse_gross,res_com_area_sqft_net,sm_office_sqft_net,lg_office_sqft_net,restaurant_sqft_net,retail_sqft_net,grocery_sqft_net,school_sqft_net,college_sqft_net,health_sqft_net,lodging_sqft_net,misc_sqft_net,industrial_sqft_net,warehouse_sqft_net,emp_ind_non_warehouse_net,res_irrigated_sqft_gross,com_irrigated_sqft_gross,res_irrigated_sqft_net,com_irrigated_sqft_net,emp_educ_gross,emp_educ_net
1,Mixed Use Centers & Corridors,Urban Mixed Use,1,Urban Mixed Use,195.37,352.87,93.94,169.67,219.43,0.4,0,0,0,93.94,0,0,0,169.67,340.95,615.82,615.82,0.55,29.1,311.85,0,16456.98,81509.54,0,52.56,563.26,0,29724.65,147222.76,0,200,0.28,1.65,27601.69,0.29,0.12,0.1,0,0,0,0,132376.84,0,0,0,0,239099.42,88.04,159.02,0.94,0,0,0,0,0,0,0.13,0.05,0,0,0,0.08,0.43,0.28,0.15,0.55,#940000,148,0,0,452.46,1606.48,2058.94,20930.67,26788.03,47718.7,29.69,0.84,30.54,758.34,252.43,277.37,733.4,1010.77,3.15,2.15,20085.93,1835.13,77439.12,858.23,5040.23,858.23,696.96,0,1289.38,7312.92,6375.41,0,0,0,36279.27,3314.61,139870.76,1550.13,9103.68,1550.13,1258.85,0,2328.87,13208.61,11515.29,0,0,0,614.97,557.98,1110.76,1007.82,0.23,0.42
2,Mixed Use Centers & Corridors,Urban Residential,2,Urban Residential,244.12,440.92,117.07,211.46,232.45,0.48,0,0,0,117.07,0,0,0,211.46,26.43,47.73,47.73,0.55,12.32,14.1,0,8516.12,5192.33,0,22.26,25.47,0,15381.84,9378.4,0,200,0.28,0.96,27601.69,0.08,0.4,0.03,0,0,0,0,140652.91,0,0,0,0,254047.69,109.71,198.16,0.94,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0.5,0.25,0.26,0.55,#CC5500,204,85,0,546.72,214.53,761.25,25933.35,5622.58,31555.94,21.85,1.18,23.03,280.38,166.93,338.55,108.76,447.31,3.09,4.12,20893.29,695.18,2658.27,125.07,3505.46,125.07,696.96,0,1289.38,7312.92,929.06,0,0,0,37737.52,1255.63,4801.37,225.9,6331.58,225.9,1258.85,0,2328.87,13208.61,1678.08,0,0,0,1193.12,420.55,2155.02,759.59,0.23,0.42
3,Mixed Use Centers & Corridors,Urban Commercial,3,Urban Commercial,28.04,50.64,14.62,26.41,158.24,0.07,0,0,0,14.62,0,0,0,26.41,445.31,804.31,804.31,0.55,29.11,416.2,0,16978.92,106620.57,0,52.58,751.74,0,30667.37,192578.38,0,200,0.28,1.69,27601.69,0.07,0,0.48,0,0,0,0,19580.9,0,0,0,0,35367.08,13.77,24.87,0.94,0,0,0,0,0,0,0.46,0.01,0,0,0,0.45,0.09,0.08,0.02,0.55,#5D2682,93,38,130,69.92,2059.69,2129.6,3268.01,33523.83,36791.84,19.43,0.18,19.61,784.37,194.63,43.04,935.96,979,3.13,2.1,2926.28,4281.27,101931.04,953.76,4632.57,953.76,0,0,1289.38,7893.71,7085.11,0,0,0,5285.46,7732.84,184108.12,1722.69,8367.36,1722.69,0,0,2328.87,14257.65,12797.14,0,0,0,177.53,2288.82,320.65,4134.08,0,0
4,Mixed Use Centers & Corridors,City Mixed Use,4,City Mixed Use,62.86,112.24,30.49,54.45,93.42,0.3,0,0,0.64,29.85,0,0,1.14,53.31,109.34,195.24,204.56,0.53,22.02,87.32,0,14312.52,24405.23,0,39.32,155.92,0,25558.07,43580.77,0,200,0.28,1.43,27878.4,0.2,0.1,0.21,0,0,0,1215.19,36159.13,0,0,0,2169.99,64569.87,28.61,51.09,0.94,0.03,0,0,0,0.03,0,0.23,0.05,0,0,0,0.18,0.3,0.14,0.16,0.56,#C20000,194,0,0,142.72,628.34,771.05,6862.02,12064.14,18926.15,10.02,0.34,10.36,283.99,100.12,88.86,295.25,384.11,3.11,2.7,5366.74,3249.01,20558.9,809.52,4342.5,809.52,696.96,0,1289.38,4456.95,6013.56,0,0,0,9583.47,5801.8,36712.31,1445.57,7754.46,1445.57,1244.57,0,2302.46,7958.85,10738.51,0,0,0,704.06,1321.58,1257.24,2359.96,0.23,0.41
5,Mixed Use Centers & Corridors,City Residential,5,City Residential,96.78,172.81,46.11,82.34,90.42,0.48,0,0,3.07,43.04,0,0,5.48,76.86,14.5,25.89,33.52,0.43,9.1,5.4,0,5751.17,2939.9,0,16.26,9.64,0,10269.95,5249.83,0,200,0.28,0.66,27878.4,0.07,0.41,0.03,0,0,0,5714.41,47770.1,0,0,0,10204.3,85303.75,43.29,77.31,0.94,0.13,0,0,0,0.13,0,0.05,0.05,0,0,0,0,0.38,0.15,0.23,0.56,#E66A05,230,106,5,213.44,141.23,354.67,10680.06,4022.43,14702.49,8.95,0.5,9.45,130.63,77.78,135.11,73.29,208.41,3.12,5.06,7147.96,1109.16,513.03,128.72,2233.84,128.72,696.96,0,1289.38,4456.95,956.19,0,0,0,12764.21,1980.64,916.13,229.85,3988.99,229.85,1244.57,0,2302.46,7958.85,1707.48,0,0,0,1711.89,381.03,3056.94,680.41,0.23,0.41
6,Mixed Use Centers & Corridors,City Commercial,6,City Commercial,23.01,41.09,12.31,21.97,93.22,0.09,0,0,0,12.31,0,0,0,21.97,195.85,349.74,349.74,0.56,27.09,168.77,0,15925.47,46559.9,0,48.37,301.37,0,28438.34,83142.69,0,200,0.28,1.54,27878.4,0.09,0,0.46,0,0,0,0,14467.84,0,0,0,0,25835.43,11.6,20.71,0.94,0,0,0,0,0,0,0.43,0.01,0,0,0,0.42,0.13,0.08,0.06,0.56,#862C90,134,44,144,57.42,1050.01,1107.43,2740.45,18979.67,21720.13,9.98,0.17,10.15,407.88,114.9,35.65,487.14,522.78,3.07,2.49,2106.23,4986.24,42021.99,876.23,4255.99,876.23,0,0,1289.38,8000.9,6509.16,0,0,0,3761.12,8904,75039.27,1564.7,7599.98,1564.7,0,0,2302.46,14287.32,11623.5,0,0,0,290.01,2104.25,517.87,3757.58,0,0
7,Mixed Use Centers & Corridors,Town Mixed Use,7,Town Mixed Use,33.73,60.23,15.48,27.64,45.41,0.33,0,0,3.01,12.47,0,0,5.38,22.26,62.03,110.77,140.98,0.44,23.05,38.98,0,11695.96,13947.13,0,41.16,69.61,0,20885.64,24905.59,0,200,0.28,1.12,27878.4,0.16,0.17,0.15,0,0,0,5718.56,13555.04,0,0,0,10211.71,24205.43,14.56,26,0.94,0.12,0,0,0,0.12,0,0.22,0.08,0,0,0,0.14,0.22,0.04,0.18,0.56,#E61414,230,20,20,71.47,419.17,490.64,3888.99,8046.66,11935.66,5.91,0.21,6.13,180.71,63.14,46.9,196.95,243.85,3.22,3.18,1983.8,5323.26,9087.79,802.4,4068.18,802.4,1132.56,0,1289.38,19.57,5960.71,0,0,0,3542.49,9505.82,16228.2,1432.86,7264.6,1432.86,2022.43,0,2302.46,34.95,10644.12,0,0,0,921.37,1104.45,1645.31,1972.24,0.39,0.71
8,Mixed Use Centers & Corridors,Town Residential,8,Town Residential,47.99,74.48,21.24,32.96,37.64,0.56,0,0.75,6.79,13.7,0,1.16,10.54,21.26,10.58,16.43,34.62,0.31,6.08,4.5,0,3221.87,3035.49,0,9.44,6.99,0,5000.51,4711.22,0,220,0.32,0.66,31550.93,0.08,0.48,0,1587.58,1587.58,0,12645.86,16298.43,2463.99,2463.99,0,19627,25295.96,20.07,31.14,0.94,0.34,0.06,0.06,0,0.28,0,0.08,0.08,0,0,0,0,0.23,0.06,0.17,0.64,#FA7E0A,250,126,10,100.85,110.67,211.51,5977.36,2754.81,8732.17,4.59,0.43,5.02,77.9,46.19,68.76,55.33,124.1,3.43,5.23,2360.67,2678.73,0,187.51,1345.29,187.51,1132.56,0,1289.38,0,1392.94,0,0,0,3663.88,4157.51,0,291.03,2087.95,291.03,1757.79,0,2001.17,0,2161.91,0,0,0,2891.13,538.56,4487.17,835.88,0.39,0.61
9,Mixed Use Centers & Corridors,Town Commercial,9,Town Commercial,10.16,18.15,4.9,8.75,44.52,0.09,0,0,0,4.9,0,0,0,8.75,100.09,178.74,178.74,0.56,55.46,44.63,0,32532.44,17179.28,0,99.04,79.7,0,58093.64,30677.28,0,200,0.28,0.8,27878.4,0.09,0,0.46,0,0,0,0,5309.15,0,0,0,0,9480.62,4.59,8.19,0.94,0,0,0,0,0,0,0.45,0.01,0,0,0,0.44,0.11,0.03,0.08,0.56,#B12F9C,179,47,156,22.38,740.31,762.7,1080.03,14491.87,15571.9,6.55,0.07,6.62,280.91,82.38,13.96,349.33,363.29,3.04,3.49,758.87,11218.98,6942.07,2233.77,10849.76,2233.77,0,0,1289.38,22.42,16593.75,0,0,0,1355.12,20033.89,12396.55,3988.88,19374.58,3988.88,0,0,2302.46,40.04,29631.7,0,0,0,221.61,1029.09,395.73,1837.66,0,0
10,Mixed Use Centers & Corridors,Village Mixed Use,10,Village Mixed Use,27.06,47.46,11.26,19.75,25.53,0.42,0,0.91,7.38,2.98,0,1.59,12.94,5.22,11.01,19.31,54.35,0.2,6.16,4.85,0,3275.5,3349.3,0,10.8,8.5,0,5744.48,5873.91,0,220,0.3,0.77,29629.5,0.05,0.37,0.07,2001.01,2001.01,0,14016.18,3260.04,3509.31,3509.31,0,24581.17,5717.37,10.74,18.84,0.95,0.37,0.07,0.07,0,0.29,0,0.13,0.08,0,0,0,0.05,0.07,0.02,0.05,0.57,#FF5252,255,82,82,54.83,121.22,176.05,3909.64,3008.19,6917.83,2.85,0.42,3.28,64.84,36.6,40.88,60.56,101.44,3.81,5.5,452.34,3242.19,0,226.95,1102.35,226.95,1132.56,0,1289.38,33.31,1685.94,0,0,0,793.3,5686.06,0,398.02,1933.26,398.02,1986.25,0,2261.27,58.42,2956.75,0,0,0,2134.41,588.02,3743.27,1031.26,0.39,0.69
11,Mixed Use Centers & Corridors,Village Residential,11,Village Residential,26.3,42.28,10.38,16.69,19.16,0.54,0,2.48,7.07,0.65,0,3.99,11.37,1.04,3.75,6.03,38.96,0.1,1.29,2.46,0,646.05,2421.94,0,2.08,3.95,0,1038.53,3893.31,0,180,0.32,1.05,31889.27,0.02,0.53,0,5558.96,5558.96,0,13432.89,699.89,8936.13,8936.13,0,21593.62,1125.08,9.97,16.03,0.96,0.53,0.24,0.24,0,0.28,0,0.08,0.08,0,0,0,0,0.02,0,0.02,0.62,#FF901A,255,144,26,52.94,49.38,102.32,3984.19,1746.27,5730.46,2.33,0.88,3.21,37.69,30.31,40.57,27.43,68,4.07,7.31,104.98,646.05,0,45.22,219.66,45.22,1132.56,0,1289.38,0,335.95,0,0,0,168.76,1038.53,0,72.7,353.1,72.7,1820.61,0,2072.7,0,540.04,0,0,0,4011.72,470.45,6448.91,756.25,0.39,0.63
12,Mixed Use Centers & Corridors,Village Commercial,12,Village Commercial,5.72,10.03,2.84,4.99,33.85,0.06,0,0,0,2.84,0,0,0,4.99,48.61,85.25,85.25,0.57,31.96,16.65,0,17726.69,7709.01,0,56.04,29.2,0,31088.55,13519.84,0,230,0.3,0.6,29629.5,0.06,0,0.5,0,0,0,0,3134.23,0,0,0,0,5496.73,2.66,4.67,0.94,0,0,0,0,0,0,0.49,0.01,0,0,0,0.48,0.08,0,0.08,0.57,#DC41B8,220,65,184,13.12,511.45,524.57,628.37,9712.46,10340.82,3.44,0.05,3.49,193.21,54.7,8.16,239.75,247.91,3.06,4.93,470.13,17688.62,0,1238.2,6014.13,1238.2,0,0,1289.38,38.07,9198.08,0,0,0,824.51,31021.79,0,2171.53,10547.41,2171.53,0,0,2261.27,66.76,16131.33,0,0,0,86.93,970.84,152.46,1702.63,0,0
13,Mixed Use Centers & Corridors,Neighborhood Residential,13,Neighborhood Residential,15.81,24.78,6.03,9.45,10.43,0.58,0.66,4.48,0,0.46,1.04,7.02,0,0.72,3.27,5.13,45.72,0.07,0.92,2.35,0,459.23,2160.58,0,1.44,3.69,0,719.81,3386.53,0,180,0.33,1.13,32582.5,0.01,0.57,0,12580.59,9896.29,2684.29,0,497.5,19719.06,15511.65,4207.41,0,779.8,5.83,9.14,0.97,0.57,0.57,0.45,0.12,0,0,0.06,0.06,0,0,0,0,0.01,0,0.01,0.64,#FFA733,255,167,51,33.6,42.46,76.06,2292.72,1598.87,3891.59,1.43,1.74,3.17,28.01,20.59,24.5,24.1,48.6,4.2,7.36,74.63,459.23,0,32.15,156.14,32.15,871.2,0,1289.38,0,238.8,0,0,0,116.97,719.81,0,50.39,244.74,50.39,1365.54,0,2020.99,0,374.3,0,0,0,6413.03,352.84,10051.9,553.04,0.29,0.46
14,Mixed Use Centers & Corridors,Neighborhood Low,14,Neighborhood Low,11.78,18.46,4.42,6.93,7.65,0.58,1.65,2.5,0,0,2.59,3.93,0,0,2.35,3.69,39.22,0.06,0,2.35,0,0,2160.58,0,0,3.69,0,0,3386.53,0,230,0.33,1.57,32582.5,0,0.58,0,12721.93,6011.2,6710.73,0,0,19940.61,9422.07,10518.53,0,0,4.28,6.71,0.97,0.58,0.58,0.29,0.29,0,0,0.06,0.06,0,0,0,0,0,0,0,0.64,#FFBA42,255,186,66,23.47,29.81,53.27,1501.86,1377.89,2879.75,1.04,2.34,3.38,19.62,15.23,16.59,18.27,34.86,3.87,7.76,0,0,0,0,0,0,871.2,0,1289.38,0,0,0,0,0,0,0,0,0,0,0,1365.54,0,2020.99,0,0,0,0,0,6359.52,352.84,9968.04,553.04,0.29,0.46
